src_ip,src_port,dst_port,service_type,timestamp,unix_timestamp,bytes_received,connection_duration_ms,payload_entropy,packet_size,is_repeated_src,src_ip_frequency,payload_printable_ratio,payload_hex_preview,tcp_flags_estimated,label
106.51.161.58,45110,9999,custom,2026-06-17T05:46:51.206036+00:00,1781675211.206036,0,5.664,0.0,0,False,1,0.0,,SYN_ONLY,1
127.0.0.1,41662,9999,custom,2026-06-17T05:53:09.724594+00:00,1781675589.724594,5,0.071,1.9219,5,False,2,0.8,746573740a,DATA,1
47.250.128.13,28598,9999,custom,2026-06-17T08:18:28.909434+00:00,1781684308.909434,83,250.29,4.6703,83,False,1,0.8795,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
47.250.128.13,28604,9999,custom,2026-06-17T08:18:29.299370+00:00,1781684309.29937,12,0.07,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
147.185.132.61,64892,9999,custom,2026-06-17T08:53:27.188150+00:00,1781686407.18815,33,47.577,4.6956,33,False,1,0.0,0000001dd0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68b,DATA,1
147.185.132.61,64902,9999,custom,2026-06-17T08:53:27.531010+00:00,1781686407.53101,0,119.275,0.0,0,True,2,0.0,,SYN_ONLY,1
117.40.113.127,13712,9999,custom,2026-06-17T16:30:17.405291+00:00,1781713817.405291,58,0.06,4.2739,58,False,1,0.8621,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
123.178.210.133,42676,9999,custom,2026-06-17T16:30:18.286415+00:00,1781713818.286415,0,745.95,0.0,0,False,1,0.0,,SYN_ONLY,1
175.30.48.207,33008,9999,custom,2026-06-17T16:30:23.502365+00:00,1781713823.502365,0,5005.138,0.0,0,False,1,0.0,,SYN_ONLY,1
220.197.85.124,14952,9999,custom,2026-06-17T16:30:24.549232+00:00,1781713824.549232,1388,526.038,7.727,1388,False,1,0.3581,16030105ac010005a80303d48a2f0a6cc46cd700547f225453e030344223ac30,DATA,1
221.0.9.214,28495,9999,custom,2026-06-17T16:30:24.582260+00:00,1781713824.58226,1457,0.419,7.7502,1457,False,1,0.3802,16030105ac010005a803036f894968c5db1493927094ac6286717a33e448629d,DATA,1
175.30.48.196,21483,9999,custom,2026-06-17T16:30:25.020748+00:00,1781713825.020748,7,0.065,2.8074,7,False,1,0.7143,4a524d4900024b,DATA,1
112.94.252.97,22064,9999,custom,2026-06-17T16:30:25.537195+00:00,1781713825.537195,15,0.062,2.0402,15,False,1,0.2,7e000200000200000000150003327e,DATA,1
60.166.82.85,61821,9999,custom,2026-06-17T16:30:26.141972+00:00,1781713826.141972,72,0.073,2.6041,72,False,1,0.2778,5b0000004800000001100100000066000001000000000a000003f43230313231,DATA,1
27.19.6.109,16654,9999,custom,2026-06-17T16:30:27.080283+00:00,1781713827.080283,4,0.139,1.0,4,False,1,0.0,0d0a0d0a,DATA,1
139.170.73.71,42317,9999,custom,2026-06-17T16:30:27.545873+00:00,1781713827.545873,14,0.067,3.5216,14,False,1,1.0,613031204341504142494c495459,DATA,1
182.54.23.235,22648,9999,custom,2026-06-17T16:30:27.977057+00:00,1781713827.977057,15,0.064,2.9996,15,False,1,0.2,0f00000047c4307e97010000ca01b4,DATA,1
183.6.187.227,17342,9999,custom,2026-06-17T16:30:29.829189+00:00,1781713829.829189,41,259.721,4.2387,41,False,1,0.8537,53fc482dfc2e30fc4f70fc6e5353485f382e327031205562756e74752d347562,DATA,1
223.181.113.215,20765,9999,custom,2026-06-17T17:25:25.826660+00:00,1781717125.82666,0,4.289,0.0,0,False,1,0.0,,SYN_ONLY,1
87.236.176.219,49885,9999,custom,2026-06-17T20:11:26.042219+00:00,1781727086.042219,0,2000.398,0.0,0,False,1,0.0,,SYN_ONLY,1
87.236.176.219,52381,9999,custom,2026-06-17T20:11:26.082122+00:00,1781727086.082122,12,0.064,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
8.211.39.61,29730,9999,custom,2026-06-18T00:25:28.005964+00:00,1781742328.005964,70,250.592,3.2317,70,False,1,0.3714,5b000000480000005210010001e24001000100000000000001e2407465737438,DATA,1
8.211.39.61,29736,9999,custom,2026-06-18T00:25:28.063581+00:00,1781742328.063581,12,0.063,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
34.40.239.179,19258,9999,custom,2026-06-18T00:52:10.711311+00:00,1781743930.711311,82,0.915,5.7976,82,False,1,0.3293,160301004d0100004903038923a1002bfa07479760f1bee272323aa15b961966,DATA,1
3.130.168.2,17296,9999,custom,2026-06-18T01:33:28.593594+00:00,1781746408.593594,1,0.402,0.0,1,False,1,0.0,0a,DATA,1
3.130.168.2,58072,9999,custom,2026-06-18T01:34:25.643807+00:00,1781746465.643807,195,0.072,5.2562,195,True,2,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
3.130.168.2,13070,9999,custom,2026-06-18T01:35:26.247760+00:00,1781746526.24776,195,0.184,5.2562,195,True,3,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
3.130.168.2,41866,9999,custom,2026-06-18T01:36:46.449211+00:00,1781746606.449211,261,622.698,5.9212,261,True,4,0.2337,1603010100010000fc0303312edc74ef2d600086abfb3dc97ee6e33e185bcea4,DATA,1
3.130.168.2,33890,9999,custom,2026-06-18T01:38:44.853715+00:00,1781746724.853715,243,156.982,5.8375,243,True,5,0.1893,16030100ee010000ea0303ebe1ffacf57c5fb7841af8e9dcd2bd772e991a7827,DATA,1
47.84.100.64,21276,9999,custom,2026-06-18T13:12:55.490063+00:00,1781788375.490063,83,250.17,4.6703,83,False,1,0.8795,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
47.84.100.64,21286,9999,custom,2026-06-18T13:12:55.891799+00:00,1781788375.891799,12,0.071,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
16.171.191.100,59062,9999,custom,2026-06-18T13:41:03.360663+00:00,1781790063.360663,0,2002.421,0.0,0,False,1,0.0,,SYN_ONLY,1
45.33.84.218,59808,9999,custom,2026-06-18T17:23:55.801238+00:00,1781803435.801238,0,0.068,0.0,0,False,1,0.0,,SYN_ONLY,1
45.33.84.218,59814,9999,custom,2026-06-18T17:23:57.908422+00:00,1781803437.908422,0,89.746,0.0,0,True,2,0.0,,SYN_ONLY,1
45.33.84.218,10686,9999,custom,2026-06-18T17:25:12.004000+00:00,1781803512.004,243,0.193,5.8307,243,True,3,0.2181,16030100ee010000ea0303571f0086d628d9a77d5d08017e1bf4d88476ce389a,DATA,1
16.58.56.214,19140,9999,custom,2026-06-19T00:22:37.974137+00:00,1781828557.974137,1,86.508,0.0,1,False,1,0.0,0a,DATA,1
16.58.56.214,26600,9999,custom,2026-06-19T00:23:48.372251+00:00,1781828628.372251,0,268.962,0.0,0,True,2,0.0,,SYN_ONLY,1
16.58.56.214,46492,9999,custom,2026-06-19T00:24:24.294587+00:00,1781828664.294587,0,161.473,0.0,0,True,3,0.0,,SYN_ONLY,1
16.58.56.214,50640,9999,custom,2026-06-19T00:25:14.495734+00:00,1781828714.495734,0,5005.149,0.0,0,True,4,0.0,,SYN_ONLY,1
20.169.104.237,45530,9999,custom,2026-06-19T00:31:52.370725+00:00,1781829112.370725,0,5005.152,0.0,0,False,1,0.0,,SYN_ONLY,1
20.169.104.237,45542,9999,custom,2026-06-19T00:31:52.670541+00:00,1781829112.670541,27,0.131,3.3521,27,True,2,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
16.58.56.214,55492,9999,custom,2026-06-19T00:57:13.809589+00:00,1781830633.809589,195,0.069,5.2562,195,False,5,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
16.58.56.214,54024,9999,custom,2026-06-19T00:57:26.272710+00:00,1781830646.27271,1,6.319,0.0,1,True,6,0.0,0a,DATA,1
16.58.56.214,41388,9999,custom,2026-06-19T00:58:44.224732+00:00,1781830724.224732,195,0.066,5.2562,195,True,7,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
16.58.56.214,50278,9999,custom,2026-06-19T01:00:04.145555+00:00,1781830804.145555,261,1.774,5.9393,261,True,8,0.2031,1603010100010000fc030312229683fe0e8fe1ca450dffa4a4586b3b89cc0b88,DATA,1
16.58.56.214,30908,9999,custom,2026-06-19T01:01:30.422521+00:00,1781830890.422521,243,0.644,5.8593,243,True,9,0.2016,16030100ee010000ea0303343a9ae17569ebcdc0d0971e8ad4ef88753e4637f3,DATA,1
172.174.211.122,57682,9999,custom,2026-06-19T15:35:07.487830+00:00,1781883307.48783,27,12.434,3.3521,27,False,1,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
198.235.24.130,63478,9999,custom,2026-06-19T16:09:42.583502+00:00,1781885382.583502,33,1.339,4.6956,33,False,1,0.0,0000001dd0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68b,DATA,1
198.235.24.130,63522,9999,custom,2026-06-19T16:09:52.344515+00:00,1781885392.344515,0,5005.14,0.0,0,True,2,0.0,,SYN_ONLY,1
198.235.24.46,62764,9999,custom,2026-06-19T16:33:15.931286+00:00,1781886795.931286,33,3.246,4.6956,33,False,1,0.0,0000001dd0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68b,DATA,1
198.235.24.46,62772,9999,custom,2026-06-19T16:33:16.649294+00:00,1781886796.649294,0,238.153,0.0,0,True,2,0.0,,SYN_ONLY,1
8.209.89.121,45436,9999,custom,2026-06-19T20:52:11.070223+00:00,1781902331.070223,70,251.089,3.2317,70,False,1,0.3714,5b000000480000005210010001e24001000100000000000001e2407465737438,DATA,1
8.209.89.121,45438,9999,custom,2026-06-19T20:52:11.145676+00:00,1781902331.145676,12,0.093,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
118.193.37.50,58860,9999,custom,2026-06-20T01:50:18.268760+00:00,1781920218.26876,156,0.073,5.0465,156,False,1,0.9103,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
118.193.37.50,58874,9999,custom,2026-06-20T01:50:18.685035+00:00,1781920218.685035,1453,1.032,7.7736,1453,True,2,0.3565,16030105a8010005a403032de1028fe4a4ec2d61376700c799d9af6fd7102acd,DATA,1
18.116.101.220,30380,9999,custom,2026-06-20T02:27:09.256412+00:00,1781922429.256412,1,0.069,0.0,1,False,1,0.0,0a,DATA,1
18.116.101.220,54488,9999,custom,2026-06-20T02:28:34.430753+00:00,1781922514.430753,195,0.259,5.2562,195,True,2,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
18.116.101.220,29960,9999,custom,2026-06-20T02:29:43.725329+00:00,1781922583.725329,195,0.072,5.2562,195,True,3,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
18.116.101.220,55466,9999,custom,2026-06-20T03:06:50.894020+00:00,1781924810.89402,261,112.827,5.9184,261,False,4,0.2375,1603010100010000fc030316d5ba3ad9377bb671ab1a0fbe23409218e3ed2bec,DATA,1
18.116.101.220,53154,9999,custom,2026-06-20T03:07:33.740080+00:00,1781924853.74008,243,128.371,5.8164,243,True,5,0.2058,16030100ee010000ea0303384c58780cb866a80f8d886fbbb2d4d4ff61e4a20f,DATA,1
135.119.112.78,51088,9999,custom,2026-06-20T03:40:14.730621+00:00,1781926814.730621,116,29.214,4.9795,116,False,1,0.8966,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
135.119.112.78,51092,9999,custom,2026-06-20T03:40:15.002657+00:00,1781926815.002657,27,0.111,3.3521,27,True,2,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
18.218.118.203,63442,9999,custom,2026-06-20T05:22:57.327171+00:00,1781932977.327171,1,3.093,0.0,1,False,1,0.0,0a,DATA,1
18.218.118.203,16582,9999,custom,2026-06-20T05:23:46.234158+00:00,1781933026.234158,195,1.81,5.2562,195,True,2,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
18.218.118.203,30648,9999,custom,2026-06-20T05:24:49.458186+00:00,1781933089.458186,195,0.72,5.2562,195,True,3,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
18.218.118.203,31288,9999,custom,2026-06-20T05:25:57.223284+00:00,1781933157.223284,261,536.178,5.9021,261,True,4,0.2567,1603010100010000fc0303c1e8524a268a934110558f9077f0040052fc04b85e,DATA,1
18.218.118.203,57518,9999,custom,2026-06-20T05:27:29.496627+00:00,1781933249.496627,243,710.386,5.7772,243,True,5,0.1893,16030100ee010000ea0303ffb3d8201fafb72a46ba23fd1b333e8cb7a76539da,DATA,1
47.251.161.178,27210,9999,custom,2026-06-20T10:12:00.047520+00:00,1781950320.04752,20,250.852,0.0,20,False,1,0.0,0000000000000000000000000000000000000000,DATA,1
47.251.161.178,27220,9999,custom,2026-06-20T10:12:00.413864+00:00,1781950320.413864,12,0.069,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
20.14.73.54,56390,9999,custom,2026-06-20T10:40:33.617129+00:00,1781952033.617129,116,27.653,4.9795,116,False,1,0.8966,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
20.14.73.54,56400,9999,custom,2026-06-20T10:40:33.920416+00:00,1781952033.920416,27,0.06,3.3521,27,True,2,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
185.247.137.222,37739,9999,custom,2026-06-20T15:19:30.930492+00:00,1781968770.930492,0,1999.655,0.0,0,False,1,0.0,,SYN_ONLY,1
185.247.137.222,52841,9999,custom,2026-06-20T15:19:30.966742+00:00,1781968770.966742,12,0.065,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
135.237.126.196,39492,9999,custom,2026-06-20T15:59:46.675528+00:00,1781971186.675528,27,1.831,3.3521,27,False,1,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
3.134.216.108,34316,9999,custom,2026-06-21T01:55:38.492202+00:00,1782006938.492202,1,0.08,0.0,1,False,1,0.0,0a,DATA,1
3.134.216.108,53014,9999,custom,2026-06-21T01:56:36.165130+00:00,1782006996.16513,195,0.061,5.2562,195,True,2,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
3.134.216.108,41840,9999,custom,2026-06-21T01:57:38.808089+00:00,1782007058.808089,195,0.067,5.2562,195,True,3,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
3.134.216.108,57622,9999,custom,2026-06-21T01:58:58.466086+00:00,1782007138.466086,261,117.065,5.911,261,True,4,0.2261,1603010100010000fc03036018ae7061060e86f64ad087da02cb2ed66d1282ef,DATA,1
3.134.216.108,31964,9999,custom,2026-06-21T02:00:13.922672+00:00,1782007213.922672,243,0.087,5.8458,243,True,5,0.2263,16030100ee010000ea03037d672e12b5e3579193ef87ef7b69d5cc0747e8d6b1,DATA,1
167.94.146.59,61036,9999,custom,2026-06-21T05:22:50.294687+00:00,1782019370.294687,33,0.802,4.6956,33,False,1,0.0,0000001dd0f281f88bff9af7d5ef94b6d1b4c09fec95e68fe187e8caf08bf68b,DATA,1
167.94.146.59,61092,9999,custom,2026-06-21T05:22:56.851685+00:00,1782019376.851685,0,3390.831,0.0,0,True,2,0.0,,SYN_ONLY,1
167.94.146.59,12024,9999,custom,2026-06-21T05:23:00.248685+00:00,1782019380.248685,1436,38.047,4.8143,1436,True,3,0.9575,5353482d322e302d476f0d0a0000058c0614c965d8df163c46236efcc6e2ac21,DATA,1
74.235.164.82,36718,9999,custom,2026-06-21T08:41:38.404731+00:00,1782031298.404731,27,1.134,3.3521,27,False,1,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
47.254.154.232,17792,9999,custom,2026-06-21T20:34:49.893833+00:00,1782074089.893833,83,270.852,4.6703,83,False,1,0.8795,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
47.254.154.232,17802,9999,custom,2026-06-21T20:34:49.952692+00:00,1782074089.952692,12,0.068,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
16.58.56.214,40112,9999,custom,2026-06-22T00:14:16.385521+00:00,1782087256.385521,1,1384.84,0.0,1,False,10,0.0,0a,DATA,1
16.58.56.214,23424,9999,custom,2026-06-22T00:14:43.115681+00:00,1782087283.115681,195,30.041,5.2562,195,True,11,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
16.58.56.214,21028,9999,custom,2026-06-22T00:15:05.816701+00:00,1782087305.816701,195,12.396,5.2562,195,True,12,0.9385,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
16.58.56.214,53766,9999,custom,2026-06-22T00:15:33.525593+00:00,1782087333.525593,261,5.685,5.92,261,True,13,0.2414,1603010100010000fc030306ecca90d3b36587a299565ac530d3f503451f1c52,DATA,1
16.58.56.214,22726,9999,custom,2026-06-22T00:16:00.606689+00:00,1782087360.606689,243,258.267,5.786,243,True,14,0.1975,16030100ee010000ea03038b0c51795749e25ba8940b643acea1d70f1bdfb743,DATA,1
66.132.172.98,41884,9999,custom,2026-06-22T05:32:38.138632+00:00,1782106358.138632,12,99.43,3.2516,12,False,1,0.8333,5353482d322e302d476f0d0a,DATA,1
52.248.40.89,37898,9999,custom,2026-06-22T07:52:26.178545+00:00,1782114746.178545,0,5005.137,0.0,0,False,1,0.0,,SYN_ONLY,1
52.248.40.89,37914,9999,custom,2026-06-22T07:52:26.445531+00:00,1782114746.445531,27,0.069,3.3521,27,True,2,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
91.230.168.169,54455,9999,custom,2026-06-22T08:31:14.240414+00:00,1782117074.240414,616,214.586,4.3377,616,False,1,0.1396,16030302630100025f03037a2e06cfdaff9fe9ae39b3422ac97e9fff1c20d086,DATA,1
91.230.168.79,34411,9999,custom,2026-06-22T08:31:18.223452+00:00,1782117078.223452,0,3220.164,0.0,0,False,1,0.0,,SYN_ONLY,1
91.230.168.254,48691,9999,custom,2026-06-22T08:33:14.623766+00:00,1782117194.623766,17,1706.187,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.132,54857,9999,custom,2026-06-22T08:35:12.736971+00:00,1782117312.736971,17,25.562,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.83,47253,9999,custom,2026-06-22T08:37:16.380425+00:00,1782117436.380425,17,1207.049,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.28,44473,9999,custom,2026-06-22T08:39:13.725961+00:00,1782117553.725961,17,259.308,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.233,36517,9999,custom,2026-06-22T08:41:12.535076+00:00,1782117672.535076,17,30.386,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.141,34373,9999,custom,2026-06-22T08:43:22.449665+00:00,1782117802.449665,17,265.854,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.240,55785,9999,custom,2026-06-22T08:45:16.494138+00:00,1782117916.494138,17,425.43,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.215,53149,9999,custom,2026-06-22T08:47:12.978745+00:00,1782118032.978745,17,841.805,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.167,39393,9999,custom,2026-06-22T08:49:11.699672+00:00,1782118151.699672,17,451.871,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.186,59105,9999,custom,2026-06-22T08:51:07.136989+00:00,1782118267.136989,17,115.445,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.9,33605,9999,custom,2026-06-22T08:53:14.451985+00:00,1782118394.451985,17,80.56,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.21,35733,9999,custom,2026-06-22T08:55:17.402778+00:00,1782118517.402778,17,1086.265,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.33,58789,9999,custom,2026-06-22T08:57:11.847534+00:00,1782118631.847534,17,91.875,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.152,34119,9999,custom,2026-06-22T08:59:08.263163+00:00,1782118748.263163,17,138.878,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.65,35619,9999,custom,2026-06-22T09:01:14.917043+00:00,1782118874.917043,17,693.384,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.85,48097,9999,custom,2026-06-22T09:03:14.638877+00:00,1782118994.638877,17,1721.468,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.242,44913,9999,custom,2026-06-22T09:05:16.325681+00:00,1782119116.325681,17,103.576,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.222,35585,9999,custom,2026-06-22T09:07:09.481336+00:00,1782119229.481336,17,196.826,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.172,60335,9999,custom,2026-06-22T09:09:17.241140+00:00,1782119357.24114,17,125.926,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.83,37231,9999,custom,2026-06-22T09:11:16.951309+00:00,1782119476.951309,17,1714.923,3.7345,17,False,2,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.215,44627,9999,custom,2026-06-22T09:13:12.638805+00:00,1782119592.638805,17,404.063,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.226,46439,9999,custom,2026-06-22T09:15:11.619320+00:00,1782119711.61932,17,132.993,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.237,41281,9999,custom,2026-06-22T09:17:13.558142+00:00,1782119833.558142,17,64.38,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.253,57955,9999,custom,2026-06-22T09:19:14.850401+00:00,1782119954.850401,17,567.208,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.101,60505,9999,custom,2026-06-22T09:21:09.946377+00:00,1782120069.946377,17,17.458,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.125,44185,9999,custom,2026-06-22T09:23:15.015802+00:00,1782120195.015802,17,958.689,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.133,58757,9999,custom,2026-06-22T09:25:17.092049+00:00,1782120317.092049,17,707.016,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.249,46871,9999,custom,2026-06-22T09:27:12.712337+00:00,1782120432.712337,17,1727.287,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.250,37863,9999,custom,2026-06-22T09:29:20.641917+00:00,1782120560.641917,17,427.091,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.185,50977,9999,custom,2026-06-22T09:31:16.650751+00:00,1782120676.650751,17,609.738,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.22,37483,9999,custom,2026-06-22T09:33:12.793976+00:00,1782120792.793976,17,314.748,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
91.230.168.213,42881,9999,custom,2026-06-22T09:35:16.246740+00:00,1782120916.24674,17,927.863,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
195.184.76.221,56673,9999,custom,2026-06-22T09:37:09.736813+00:00,1782121029.736813,17,85.123,3.7345,17,False,1,0.8824,5353482d322e302d7065726c7373680d0a,DATA,1
152.32.208.7,59960,9999,custom,2026-06-22T16:46:02.983101+00:00,1782146762.983101,0,710.008,0.0,0,False,1,0.0,,SYN_ONLY,1
152.32.208.7,60114,9999,custom,2026-06-22T16:46:03.127263+00:00,1782146763.127263,21,31.692,3.7257,21,True,2,0.9048,5353482d322e302d4f70656e5353485f372e340d0a,DATA,1
152.32.208.7,60408,9999,custom,2026-06-22T16:46:04.442077+00:00,1782146764.442077,805,42.979,6.4433,805,True,3,0.7106,5353482d322e302d4f70656e5353485f372e340d0a000001fc0414584ed3037e,DATA,1
20.169.108.13,40742,9999,custom,2026-06-22T17:27:23.430492+00:00,1782149243.430492,27,0.074,3.3521,27,False,1,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
47.245.143.40,30398,9999,custom,2026-06-22T20:33:20.351706+00:00,1782160400.351706,70,250.171,3.2317,70,False,1,0.3714,5b000000480000005210010001e24001000100000000000001e2407465737438,DATA,1
47.245.143.40,30412,9999,custom,2026-06-22T20:33:20.410659+00:00,1782160400.410659,12,0.343,3.2516,12,True,2,0.8333,5353482d322e302d476f0d0a,DATA,1
